taxonName,subtype,geographyName,geographyIso2,eventDescription,eventStartDate,hostName,taxonRank,caseCount,deathCount
"""H5N1 subtype""","""H5N1""","""Chaffee County Jail""","""US""","""Wild striped skunk (Mephitis mephitis). ""","""2023-03-23""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Eaton Pit""","""US""","""Wild striped skunk (Mephitis mephitis). Clinical signs included neurologic signs. ""","""2023-03-10""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""River Park""","""US""","""Wild striped skunk (Mephitis mephitis). Clinical signs included neurologic signs. ""","""2023-02-01""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Carson County Sheriff's Office""","""US""","""Wild striped skunk (Mephitis mephitis).""","""2023-03-06""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Spring Creek""","""US""","""Wild striped skunk (Mephitis mephitis). Clinical signs included neurologic abnormalities. ""","""2023-03-02""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Saint Marys Catholic Church""","""US""","""Wild striped skunk (Mephitis mephitis). Clinical signs included neurologic abnormalities. ""","""2023-03-14""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Interchange 308""","""US""","""Wild striped skunk (Mephitis mephitis). Clinical signs included abnormal behavior. ""","""2023-03-17""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Sacred Heart Roman Catholic Church""","""US""","""Two wild striped skunks (Mephitis mephitis). Clinical signs included lethargic behavior. ""","""2023-02-28""","""Mephitis mephitis""","""Mammalia""",2,1
"""H5N1 subtype""","""H5N1""","""Memorial Park""","""US""","""Wild striped skunk (Mephitis mephitis). ""","""2023-02-24""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Graphite Number One Mine""","""US""","""Wild striped skunks (Mephitis mephitis). ""","""2023-02-21""","""Mephitis mephitis""","""Mammalia""","""NA""",3
"""H5N1 subtype""","""H5N1""","""DeWitt Park""","""US""","""Wild striped skunk (Mephitis mephitis). Clinical signs included abnormal behavior.
 ""","""2023-02-20""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Rawlins County Sheriff's Office""","""US""","""Wild striped skunk (Mephitis mephitis).""","""2023-01-27""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Prineville City Hall""","""US""","""Wild striped skunks  (Mephitis mephitis). Samples were collected from wildlife mortalities. ""","""2023-01-23""","""Mephitis mephitis""","""Mammalia""",2,2
"""H5N1 subtype""","""H5N1""","""Saint Helens Public Library""","""US""","""Wild striped skunks (Mephitis mephitis).""","""2022-11-28""","""Mephitis mephitis""","""Mammalia""",6,6
"""H5N1 subtype""","""H5N1""","""Cascade County Courthouse""","""US""","""Wild striped skunk (Mephitis mephitis). Clinical signs included neurologic signs. ""","""2022-12-16""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Rigby""","""US""",""" Wild striped skunks (Mephitis mephitis).""","""2022-11-04""","""Mephitis mephitis""","""Mammalia""",3,2
"""H5N1 subtype""","""H5N1""","""Hammond Avenue Presbyterian Church""","""US""","""Wild striped skunk (Mephitis mephitis).
""","""2022-11-15""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Lincoln Park""","""US""","""Wild striped skunk (Mephitis mephitis).""","""2022-10-17""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Itasca County Sherrif's Office""","""US""","""Wild striped skunk (Mephitis mephitis).""","""2022-10-21""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""02S06E06BD__01 Well""","""US""","""Wild striped skunk (Mephitis mephitis).""","""2022-10-20""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Lost Valley Reservoir""","""US""","""--Captive wild striped skunks (Mephitis mephitis) at a rehabilitation facility.""","""2022-06-07""","""Mephitis mephitis""","""Mammalia""",2,"""NA"""
"""H5N1 subtype""","""H5N1""","""Collister Shopping Center""","""US""","""--Wild skunk (Mephitis mephitis).""","""2022-07-22""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Best Western University Inn""","""US""","""--Captive wild Striped skunk (Mephitis mephitis) at a rehabilitation facility.""","""2022-06-05""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""James MacDonald Bridge""","""CA""","""Multiple locations in Alberta
Clusters: Gene segments PB2 and NP belonging to North American lineage and gene segments PB1, PA, HA, NA, M and NS belonging to Eurasian lineage (5 skunks and 1 red fox)
                 Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage (12 skunks and 2 red foxes)""","""2022-05-11""","""Mephitis mephitis""","""Mammalia""",5,"""NA"""
"""H5N1 subtype""","""H5N1""","""James MacDonald Bridge""","""CA""","""Multiple locations in Alberta: Leduc, Tofield, Provost, Warner, Thorhild, Okotoks, Edmonton, Lac la Biche, St. Paul
Clusters: Gene segments PB2 and NP belonging to North American lineage and gene segments PB1, PA, HA, NA, M and NS belonging to Eurasian lineage (5 skunks and 1 red fox)
                 Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage (7 skunks and 2 red foxes)""","""2022-05-11""","""Mephitis mephitis""","""Mammalia""",5,"""NA"""
"""H5N1 subtype""","""H5N1""","""James MacDonald Bridge""","""CA""","""Multiple locations in Alberta: Leduc, Tofield, Provost, Warner, Thorhild, Okotoks, Edmonton, Lac la BicheReassortments EU""","""2022-05-11""","""Mephitis mephitis""","""Mammalia""",5,"""NA"""
"""H5N1 subtype""","""H5N1""","""Lord Selkirk Park""","""CA""","""Cluster: Gene segments PB2, PB1, PA and NP belonging to North American lineage and gene segments HA, NA, M and NS belonging to Eurasian lineage""","""2022-11-14""","""Mephitis mephitis""","""Mammalia""",3,3
"""H5N1 subtype""","""H5N1""","""Lakeview""","""CA""","""Cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage""","""2022-10-17""","""Mephitis mephitis""","""Mammalia""",3,3
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""Reassortant H5N1
Cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",2,2
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""Fully Eurasian H5N1 (Red Fox)
Reassortant H5N1 (Skunks)
Cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage
""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",2,2
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""NA""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",2,2
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""Cluter:
Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage
Gene segments PB2, PB1, PA and NP belonging to North American lineage and gene segments HA, NA, M and NS belonging to Eurasian lineage""","""2022-11-15""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""The Omni King Edward Hotel""","""CA""","""Multiple locations in Southern and Eastern Ontario
Cluster: Gene segments PB2, PB1, PA and NP belonging to North American lineage and gene segments HA, NA, M and NS belonging to Eurasian lineage""","""2022-04-03""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""The Omni King Edward Hotel""","""CA""","""Multiple locations in Southern and Eastern Ontario
Reassortment EU&NA.  Gene segments PB2, PB1, PA and NP belonging to North American lineage and gene segments HA, NA, M and NS belonging to Eurasian lineage""","""2022-04-03""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Fairfield""","""CA""","""A total of 17 skunks were found with neurological clinical signs in the Vancouver and Richmond area.  They subsequently died or were euthanised. 
Seuqencing results:
Fully Eurasian lineage H5N1 (n=7)
Reassortant H5N1 of the following cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage (n=4)""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",9,9
"""H5N1 subtype""","""H5N1""","""Fairfield""","""CA""","""A total of 17 skunks were found with neurological clinical signs in the Vancouver and Richmond area.  They subsequently died or were euthanised.  We report HPAI results for 2 of these skunks.  More testing is underway. 
Seuqencing results:
One H5N1 was of fully Eurasian lineage
One H5N1 was a reassortant of the following cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",9,9
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""NA""","""2022-11-15""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""Cluter:
Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage
Gene segments PB2, PB1, PA and NP belonging to North American lineage and gene segments HA, NA, M and NS belonging to Eurasian lineage""","""2022-11-15""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""Reassortant H5N1
Cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",5,5
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""Fully Eurasian H5N1 (Red Fox)
Reassortant H5N1 (Skunks)
Cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage
""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",5,5
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""NA""","""2022-11-15""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Sifton""","""CA""","""- Neurologic adult wild skunk. 

Cluster: Gene segments PB2 and NP belonging to North American lineage and gene segments PB1, PA, HA, NA, M and NS belonging to Eurasian lineage""","""2022-05-11""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Royal Park""","""CA""","""- Neurologic wild skunks. 

Cluster: Gene segments PB2 and NP belonging to North American lineage and gene segments PB1, PA, HA, NA, M and NS belonging to Eurasian lineage""","""2022-04-22""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Days Inn & Suites Strathmore""","""CA""","""Neurologic wild skunk
Cluster: Gene segments PB2 and NP belonging to North American lineage and gene segments PB1, PA, HA, NA, M and NS belonging to Eurasian lineage""","""2022-04-26""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Days Inn & Suites Strathmore""","""CA""","""Neurologic wild skunk""","""2022-04-26""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Juniper Bay""","""CA""","""Cluster: Gene segments PB2 and NP belonging to North American lineage and gene segments PB1, PA, HA, NA, M and NS belonging to Eurasian lineage""","""2022-05-18""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""The Omni King Edward Hotel""","""CA""","""Multiple locations in Southern and Eastern Ontario
Cluster: Gene segments PB2, PB1, PA and NP belonging to North American lineage and gene segments HA, NA, M and NS belonging to Eurasian lineage""","""2022-04-03""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""James MacDonald Bridge""","""CA""","""Multiple locations in Alberta
Clusters: Gene segments PB2 and NP belonging to North American lineage and gene segments PB1, PA, HA, NA, M and NS belonging to Eurasian lineage (5 skunks and 1 red fox)
                 Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage (12 skunks and 2 red foxes)""","""2022-05-11""","""Mephitis mephitis""","""Mammalia""",5,3
"""H5N1 subtype""","""H5N1""","""James MacDonald Bridge""","""CA""","""Multiple locations in Alberta: Leduc, Tofield, Provost, Warner, Thorhild, Okotoks, Edmonton, Lac la Biche, St. Paul
Clusters: Gene segments PB2 and NP belonging to North American lineage and gene segments PB1, PA, HA, NA, M and NS belonging to Eurasian lineage (5 skunks and 1 red fox)
                 Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage (7 skunks and 2 red foxes)""","""2022-05-11""","""Mephitis mephitis""","""Mammalia""",5,3
"""H5N1 subtype""","""H5N1""","""Marriott Quebec City Downtown""","""CA""","""Multiple regions from Québec : Côte Nord, Bas-Saint-Laurent, Gaspésie and Montérégie.  


We also report HPAI in a Atlantic White-Sided Dolphin from Bas St-Laurent (data not captured in WAHIS)

Fully Eurasian lineage (Bears and one seal)
Reassortment EU&NA (5 seals, dolphin and skunk) Cluster: Gene segments PB2, PB1, PA and NP belonging to North American lineage and gene segments HA, NA, M and NS belonging to Eurasian lineage. 



""","""2022-05-30""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Fairfield""","""CA""","""A total of 17 skunks were found with neurological clinical signs in the Vancouver and Richmond area.  They subsequently died or were euthanised.  We report HPAI results for 2 of these skunks.  More testing is underway. 
Seuqencing results:
One H5N1 was of fully Eurasian lineage
One H5N1 was a reassortant of the following cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",2,"""NA"""
"""H5N1 subtype""","""H5N1""","""Mill Creek""","""CA""","""Reassortant H5N1
Cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",2,"""NA"""
"""H5N1 subtype""","""H5N1""","""Kensington Point""","""CA""","""Reassortant H5N1
Cluster: Gene segments PB2, PB1, NP and NS belonging to North American lineage and gene segments PA, HA, NA and M belonging to Eurasian lineage""","""2023-01-01""","""Mephitis mephitis""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Juniper Bay""","""CA""","""NA""","""2022-05-18""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Sifton""","""CA""","""Neurologic adult wild skunk""","""2022-05-11""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Royal Park""","""CA""","""Neurologic wild skunks.""","""2022-04-22""","""Mephitis mephitis""","""Mammalia""","""NA""","""NA"""
"""H5N1 subtype""","""H5N1""","""Juniper Bay""","""CA""","""NA""","""2022-05-18""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Sifton""","""CA""","""Neurologic adult wild skunk""","""2022-05-11""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Days Inn & Suites Strathmore""","""CA""","""Neurologic wild skunk""","""2022-04-26""","""Mephitis mephitis""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Dreveskirchen""","""DE""","""NA""","""2022-04-01""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Streu""","""DE""","""NA""","""2022-04-06""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Hagenburg""","""DE""","""NA""","""2023-02-28""","""Vulpes vulpes""","""Mammalia""",1,0
"""H5N1 subtype""","""H5N1""","""Hamelin""","""DE""","""NA""","""2023-02-28""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Niedersächsisches Landesarchiv""","""DE""","""NA""","""2023-02-28""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Verden an der Aller""","""DE""","""NA""","""2023-02-28""","""Vulpes vulpes""","""Mammalia""",1,0
"""H5N1 subtype""","""H5N1""","""Bergedorf""","""DE""","""NA""","""2023-04-13""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Rebenstorf""","""DE""","""NA""","""2023-06-01""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Garbsen-Mitte""","""DE""","""NA""","""2023-04-12""","""Vulpes vulpes""","""Mammalia""",1,0
"""H5N1 subtype""","""H5N1""","""Schweisweiler""","""DE""","""NA""","""2023-05-10""","""Vulpes vulpes""","""Mammalia""",1,0
"""H5N1 subtype""","""H5N1""","""Sapporo Shiyakusho""","""JP""","""NA""","""2023-02-20""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Sapporo Shiyakusho""","""JP""","""NA""","""2023-04-12""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Congis-sur-Thérouanne""","""FR""","""3 renards trouvés morts dans une réserve naturelle à proximité de mortalité de mouettes. 1 a été collecté et analysé. ""","""2023-02-10""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Glenbrook""","""IE""","""On 19th September 2022 a red fox exhibiting neurological signs was submitted to Cork Regional Veterinary Laboratory. On 28th September 2022 the Central Veterinary Research Laboratory confirmed the presence of Avian Influenza subtype H5N1 in samples taken from the fox. Pathogenicity results are pending.""","""2022-09-19""","""Vulpes vulpes""","""Mammalia""","""NA""",1
"""H5N1 subtype""","""H5N1""","""Huntingdon County Sheriff's Office""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-05-07""","""Vulpes vulpes""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Huntingdon County Sheriff's Office""","""US""","""Wild red fox kits (Vulpes vulpes). Clinical signs included seizures. ""","""2023-04-01""","""Vulpes vulpes""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Huntingdon County Sheriff's Office""","""US""","""Wild red fox kits (Vulpes vulpes). Clinical signs included seizures.""","""2023-04-01""","""Vulpes vulpes""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Arundel Police Department""","""US""","""Wild red foxes (Vulpes vulpes). Litter of fox kits found dead. ""","""2023-05-02""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Alpena County Courthouse Historical Marker""","""US""","""Wild red fox (Vulpes vulpes).""","""2023-06-01""","""Vulpes vulpes""","""Mammalia""",1,"""NA"""
"""H5N1 subtype""","""H5N1""","""Edward A Roth County Office Building""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-05-12""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""DeWitt Park""","""US""","""Wild red foxes (Vulpes vulpes) and wild Virginia opossum (Didelphis virginiana).""","""2023-04-06""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Rochester Civic Center""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-04-13""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Lyons Post Office""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-04-13""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Bradley School""","""US""","""Wild red fox kits (Vulpes vulpes). One kit was found dead, the  second kit displayed neurologic signs and subsequently died. ""","""2023-04-24""","""Vulpes vulpes""","""Mammalia""",2,2
"""H5N1 subtype""","""H5N1""","""Cayuga County Court House""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-05-03""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Arundel Police Department""","""US""","""Wild red fox (Vulpes vulpes). Litter of fox kits found dead. ""","""2023-05-02""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""KWVR-AM""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-04-27""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Lyons Post Office""","""US""","""Wild red foxes (Vulpes vulpes). ""","""2023-04-13""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Seidersville - Wydnor - Colesville Fire Company""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-04-28""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""DeWitt Park""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-04-06""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Huntingdon County Sheriff's Office""","""US""","""Wild red fox kits (Vulpes vulpes). Clinical signs included seizures. ""","""2023-04-01""","""Vulpes vulpes""","""Mammalia""",3,"""NA"""
"""H5N1 subtype""","""H5N1""","""Dane County Jail""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-04-05""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""DeWitt Park""","""US""","""Wild red foxes (Vulpes vulpes). ""","""2023-04-06""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Bethany Lutheran Church""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-04-10""","""Vulpes vulpes""","""Mammalia""",1,1
"""H5N1 subtype""","""H5N1""","""Boulder County Justice Center""","""US""","""Wild red foxes (Vulpes vulpes).""","""2023-03-30""","""Vulpes vulpes""","""Mammalia""",2,2
"""H5N1 subtype""","""H5N1""","""Mat - Su Pretrial Facility""","""US""","""Wild red fox (Vulpes vulpes). ""","""2023-03-16""","""Vulpes vulpes""","""Mammalia""",1,1
