data,yearMonth,geo,species,flu,monthlyCases
"""FluNet""","""2005-1""","""Slovenia""","""Homo sapiens""","""Influenza A virus""",20
"""FluNet""","""2005-1""","""Latvia""","""Homo sapiens""","""Influenza A virus""",20
"""FluNet""","""2005-1""","""Denmark""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2005-1""","""Thailand""","""Homo sapiens""","""Influenza A virus""",12
"""FluNet""","""2005-1""","""Poland""","""Homo sapiens""","""Influenza A virus""",12
"""FluNet""","""2005-1""","""Tunisia""","""Homo sapiens""","""Influenza A virus""",10
"""FluNet""","""2005-1""","""Bulgaria""","""Homo sapiens""","""Influenza A virus""",8
"""FluNet""","""2005-1""","""Mexico""","""Homo sapiens""","""Influenza A virus""",6
"""WAHIS""","""2005-1""","""Leichines""","""Aves""","""Influenza A virus""",6
"""FluNet""","""2005-1""","""Ukraine""","""Homo sapiens""","""Influenza A virus""",5
"""FluNet""","""2005-1""","""Turkey""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2005-1""","""Romania""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-1""","""Colombia""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-1""","""French Guiana""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-1""","""Brazil""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-1""","""Australia""","""Homo sapiens""","""Influenza A virus""",1
"""WAHIS""","""2005-1""","""Kerastáris""","""Aves""","""Influenza A virus""",0
"""FluNet""","""2005-10""","""China""","""Homo sapiens""","""Influenza A virus""",399
"""FluNet""","""2005-10""","""Mexico""","""Homo sapiens""","""Influenza A virus""",57
"""FluNet""","""2005-10""","""Thailand""","""Homo sapiens""","""Influenza A virus""",29
"""FluNet""","""2005-10""","""Colombia""","""Homo sapiens""","""Influenza A virus""",17
"""FluNet""","""2005-10""","""Egypt""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2005-10""","""Japan""","""Homo sapiens""","""Influenza A virus""",12
"""FluNet""","""2005-10""","""Peru""","""Homo sapiens""","""Influenza A virus""",10
"""FluNet""","""2005-10""","""New Caledonia""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-10""","""Czechia""","""Homo sapiens""","""Influenza A virus""",5
"""FluNet""","""2005-10""","""Australia""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-10""","""Madagascar""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-10""","""Brazil""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-10""","""Israel""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-10""","""Switzerland""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-11""","""China""","""Homo sapiens""","""Influenza A virus""",726
"""FluNet""","""2005-11""","""Mexico""","""Homo sapiens""","""Influenza A virus""",138
"""FluNet""","""2005-11""","""Japan""","""Homo sapiens""","""Influenza A virus""",119
"""FluNet""","""2005-11""","""Egypt""","""Homo sapiens""","""Influenza A virus""",48
"""FluNet""","""2005-11""","""Madagascar""","""Homo sapiens""","""Influenza A virus""",36
"""FluNet""","""2005-11""","""Thailand""","""Homo sapiens""","""Influenza A virus""",30
"""FluNet""","""2005-11""","""Colombia""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2005-11""","""Mongolia""","""Homo sapiens""","""Influenza A virus""",15
"""FluNet""","""2005-11""","""Tunisia""","""Homo sapiens""","""Influenza A virus""",13
"""FluNet""","""2005-11""","""Brazil""","""Homo sapiens""","""Influenza A virus""",10
"""FluNet""","""2005-11""","""Sweden""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2005-11""","""Peru""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-11""","""Israel""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-11""","""Portugal""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-11""","""Germany""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-11""","""Czechia""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-11""","""Turkey""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-11""","""Slovenia""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-12""","""China""","""Homo sapiens""","""Influenza A virus""",712
"""FluNet""","""2005-12""","""Japan""","""Homo sapiens""","""Influenza A virus""",570
"""FluNet""","""2005-12""","""Egypt""","""Homo sapiens""","""Influenza A virus""",108
"""FluNet""","""2005-12""","""Madagascar""","""Homo sapiens""","""Influenza A virus""",104
"""FluNet""","""2005-12""","""Mongolia""","""Homo sapiens""","""Influenza A virus""",97
"""FluNet""","""2005-12""","""Mexico""","""Homo sapiens""","""Influenza A virus""",31
"""FluNet""","""2005-12""","""Tunisia""","""Homo sapiens""","""Influenza A virus""",20
"""FluNet""","""2005-12""","""Turkey""","""Homo sapiens""","""Influenza A virus""",8
"""FluNet""","""2005-12""","""Norway""","""Homo sapiens""","""Influenza A virus""",8
"""FluNet""","""2005-12""","""France""","""Homo sapiens""","""Influenza A virus""",8
"""FluNet""","""2005-12""","""Sweden""","""Homo sapiens""","""Influenza A virus""",7
"""FluNet""","""2005-12""","""Colombia""","""Homo sapiens""","""Influenza A virus""",7
"""FluNet""","""2005-12""","""Thailand""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-12""","""Israel""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-12""","""Latvia""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-12""","""Czechia""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-12""","""Brazil""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-12""","""Portugal""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-12""","""Greece""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-2""","""Japan""","""Homo sapiens""","""Influenza A virus""",971
"""FluNet""","""2005-2""","""Sweden""","""Homo sapiens""","""Influenza A virus""",696
"""FluNet""","""2005-2""","""Germany""","""Homo sapiens""","""Influenza A virus""",640
"""FluNet""","""2005-2""","""France""","""Homo sapiens""","""Influenza A virus""",606
"""FluNet""","""2005-2""","""Belgium""","""Homo sapiens""","""Influenza A virus""",326
"""FluNet""","""2005-2""","""Norway""","""Homo sapiens""","""Influenza A virus""",278
"""FluNet""","""2005-2""","""Italy""","""Homo sapiens""","""Influenza A virus""",243
"""FluNet""","""2005-2""","""China""","""Homo sapiens""","""Influenza A virus""",150
"""FluNet""","""2005-2""","""Switzerland""","""Homo sapiens""","""Influenza A virus""",121
"""FluNet""","""2005-2""","""Greece""","""Homo sapiens""","""Influenza A virus""",114
"""FluNet""","""2005-2""","""Finland""","""Homo sapiens""","""Influenza A virus""",83
"""FluNet""","""2005-2""","""Peru""","""Homo sapiens""","""Influenza A virus""",43
"""FluNet""","""2005-2""","""Denmark""","""Homo sapiens""","""Influenza A virus""",41
"""FluNet""","""2005-2""","""Portugal""","""Homo sapiens""","""Influenza A virus""",39
"""FluNet""","""2005-2""","""Indonesia""","""Homo sapiens""","""Influenza A virus""",26
"""FluNet""","""2005-2""","""Latvia""","""Homo sapiens""","""Influenza A virus""",22
"""FluNet""","""2005-2""","""Thailand""","""Homo sapiens""","""Influenza A virus""",21
"""FluNet""","""2005-2""","""Romania""","""Homo sapiens""","""Influenza A virus""",20
"""FluNet""","""2005-2""","""Israel""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2005-2""","""Slovenia""","""Homo sapiens""","""Influenza A virus""",15
"""FluNet""","""2005-2""","""Iceland""","""Homo sapiens""","""Influenza A virus""",14
"""FluNet""","""2005-2""","""Poland""","""Homo sapiens""","""Influenza A virus""",10
"""FluNet""","""2005-2""","""Tunisia""","""Homo sapiens""","""Influenza A virus""",7
"""FluNet""","""2005-2""","""Ireland""","""Homo sapiens""","""Influenza A virus""",7
"""FluNet""","""2005-2""","""Bulgaria""","""Homo sapiens""","""Influenza A virus""",7
"""FluNet""","""2005-2""","""Mongolia""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-2""","""Mexico""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-2""","""French Guiana""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-2""","""Chile""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-2""","""Australia""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-2""","""Argentina""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-2""","""Paraguay""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-2""","""Brazil""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-2""","""Colombia""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-2""","""Ukraine""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-2""","""Spain""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-3""","""Sweden""","""Homo sapiens""","""Influenza A virus""",597
"""FluNet""","""2005-3""","""China""","""Homo sapiens""","""Influenza A virus""",490
"""FluNet""","""2005-3""","""Japan""","""Homo sapiens""","""Influenza A virus""",473
"""FluNet""","""2005-3""","""Norway""","""Homo sapiens""","""Influenza A virus""",314
"""FluNet""","""2005-3""","""Germany""","""Homo sapiens""","""Influenza A virus""",283
"""FluNet""","""2005-3""","""France""","""Homo sapiens""","""Influenza A virus""",247
"""FluNet""","""2005-3""","""Belgium""","""Homo sapiens""","""Influenza A virus""",128
"""FluNet""","""2005-3""","""Latvia""","""Homo sapiens""","""Influenza A virus""",105
"""FluNet""","""2005-3""","""Romania""","""Homo sapiens""","""Influenza A virus""",88
"""FluNet""","""2005-3""","""Peru""","""Homo sapiens""","""Influenza A virus""",29
"""FluNet""","""2005-3""","""Denmark""","""Homo sapiens""","""Influenza A virus""",27
"""FluNet""","""2005-3""","""Switzerland""","""Homo sapiens""","""Influenza A virus""",24
"""FluNet""","""2005-3""","""Thailand""","""Homo sapiens""","""Influenza A virus""",23
"""FluNet""","""2005-3""","""Finland""","""Homo sapiens""","""Influenza A virus""",21
"""FluNet""","""2005-3""","""Italy""","""Homo sapiens""","""Influenza A virus""",20
"""FluNet""","""2005-3""","""Greece""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2005-3""","""Mexico""","""Homo sapiens""","""Influenza A virus""",12
"""FluNet""","""2005-3""","""Indonesia""","""Homo sapiens""","""Influenza A virus""",12
"""FluNet""","""2005-3""","""Belarus""","""Homo sapiens""","""Influenza A virus""",12
"""FluNet""","""2005-3""","""Bulgaria""","""Homo sapiens""","""Influenza A virus""",11
"""FluNet""","""2005-3""","""Brazil""","""Homo sapiens""","""Influenza A virus""",8
"""FluNet""","""2005-3""","""Slovenia""","""Homo sapiens""","""Influenza A virus""",7
"""FluNet""","""2005-3""","""Mongolia""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-3""","""Ukraine""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-3""","""Chile""","""Homo sapiens""","""Influenza A virus""",5
"""FluNet""","""2005-3""","""Ireland""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2005-3""","""Argentina""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-3""","""French Guiana""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-3""","""Israel""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-3""","""Paraguay""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-3""","""Poland""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-3""","""Portugal""","""Homo sapiens""","""Influenza A virus""",1
"""WAHIS""","""2005-3""","""Kilkis""","""Aves""","""Influenza A virus""",0
"""FluNet""","""2005-4""","""China""","""Homo sapiens""","""Influenza A virus""",693
"""FluNet""","""2005-4""","""Japan""","""Homo sapiens""","""Influenza A virus""",248
"""FluNet""","""2005-4""","""Norway""","""Homo sapiens""","""Influenza A virus""",66
"""FluNet""","""2005-4""","""Peru""","""Homo sapiens""","""Influenza A virus""",63
"""FluNet""","""2005-4""","""Latvia""","""Homo sapiens""","""Influenza A virus""",55
"""FluNet""","""2005-4""","""Sweden""","""Homo sapiens""","""Influenza A virus""",53
"""FluNet""","""2005-4""","""France""","""Homo sapiens""","""Influenza A virus""",22
"""FluNet""","""2005-4""","""Thailand""","""Homo sapiens""","""Influenza A virus""",21
"""FluNet""","""2005-4""","""Chile""","""Homo sapiens""","""Influenza A virus""",15
"""FluNet""","""2005-4""","""Argentina""","""Homo sapiens""","""Influenza A virus""",13
"""FluNet""","""2005-4""","""Romania""","""Homo sapiens""","""Influenza A virus""",13
"""FluNet""","""2005-4""","""Tunisia""","""Homo sapiens""","""Influenza A virus""",12
"""FluNet""","""2005-4""","""Indonesia""","""Homo sapiens""","""Influenza A virus""",9
"""FluNet""","""2005-4""","""Mexico""","""Homo sapiens""","""Influenza A virus""",9
"""FluNet""","""2005-4""","""Denmark""","""Homo sapiens""","""Influenza A virus""",7
"""FluNet""","""2005-4""","""Greece""","""Homo sapiens""","""Influenza A virus""",5
"""FluNet""","""2005-4""","""South Africa""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2005-4""","""Colombia""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2005-4""","""Australia""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2005-4""","""Italy""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2005-4""","""Philippines""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-4""","""Finland""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-4""","""French Guiana""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-4""","""Mongolia""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-4""","""Iceland""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-4""","""Paraguay""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-4""","""Uruguay""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-4""","""Brazil""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-4""","""Ukraine""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-4""","""Switzerland""","""Homo sapiens""","""Influenza A virus""",1
"""WAHIS""","""2005-4""","""Ágios Konstantínos""","""Aves""","""Influenza A virus""",0
"""WAHIS""","""2005-4""","""Eleftherianí""","""Aves""","""Influenza A virus""",0
"""WAHIS""","""2005-4""","""Ano Apostoloi""","""Aves""","""Influenza A virus""",0
"""FluNet""","""2005-5""","""China""","""Homo sapiens""","""Influenza A virus""",1766
"""FluNet""","""2005-5""","""South Africa""","""Homo sapiens""","""Influenza A virus""",191
"""FluNet""","""2005-5""","""Chile""","""Homo sapiens""","""Influenza A virus""",130
"""FluNet""","""2005-5""","""Japan""","""Homo sapiens""","""Influenza A virus""",123
"""FluNet""","""2005-5""","""Argentina""","""Homo sapiens""","""Influenza A virus""",113
"""FluNet""","""2005-5""","""Peru""","""Homo sapiens""","""Influenza A virus""",68
"""FluNet""","""2005-5""","""Paraguay""","""Homo sapiens""","""Influenza A virus""",45
"""FluNet""","""2005-5""","""Philippines""","""Homo sapiens""","""Influenza A virus""",23
"""FluNet""","""2005-5""","""Australia""","""Homo sapiens""","""Influenza A virus""",21
"""FluNet""","""2005-5""","""Norway""","""Homo sapiens""","""Influenza A virus""",18
"""FluNet""","""2005-5""","""Thailand""","""Homo sapiens""","""Influenza A virus""",16
"""WAHIS""","""2005-5""","""Rue Akhwane Haffouz""","""Equidae""","""Influenza A virus""",16
"""FluNet""","""2005-5""","""Latvia""","""Homo sapiens""","""Influenza A virus""",7
"""FluNet""","""2005-5""","""Mexico""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-5""","""Brazil""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-5""","""Colombia""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-5""","""Indonesia""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-5""","""Dominican Republic""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-5""","""Uruguay""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-5""","""Denmark""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-6""","""China""","""Homo sapiens""","""Influenza A virus""",1462
"""FluNet""","""2005-6""","""Chile""","""Homo sapiens""","""Influenza A virus""",442
"""FluNet""","""2005-6""","""Argentina""","""Homo sapiens""","""Influenza A virus""",318
"""FluNet""","""2005-6""","""South Africa""","""Homo sapiens""","""Influenza A virus""",217
"""FluNet""","""2005-6""","""Australia""","""Homo sapiens""","""Influenza A virus""",141
"""FluNet""","""2005-6""","""Thailand""","""Homo sapiens""","""Influenza A virus""",45
"""FluNet""","""2005-6""","""Peru""","""Homo sapiens""","""Influenza A virus""",34
"""FluNet""","""2005-6""","""Philippines""","""Homo sapiens""","""Influenza A virus""",23
"""FluNet""","""2005-6""","""Paraguay""","""Homo sapiens""","""Influenza A virus""",22
"""FluNet""","""2005-6""","""Uruguay""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2005-6""","""Japan""","""Homo sapiens""","""Influenza A virus""",15
"""FluNet""","""2005-6""","""Brazil""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-6""","""Colombia""","""Homo sapiens""","""Influenza A virus""",5
"""FluNet""","""2005-6""","""Mexico""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2005-6""","""New Zealand""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-7""","""China""","""Homo sapiens""","""Influenza A virus""",387
"""FluNet""","""2005-7""","""Australia""","""Homo sapiens""","""Influenza A virus""",250
"""FluNet""","""2005-7""","""Argentina""","""Homo sapiens""","""Influenza A virus""",236
"""FluNet""","""2005-7""","""Chile""","""Homo sapiens""","""Influenza A virus""",125
"""FluNet""","""2005-7""","""Thailand""","""Homo sapiens""","""Influenza A virus""",62
"""FluNet""","""2005-7""","""Uruguay""","""Homo sapiens""","""Influenza A virus""",34
"""FluNet""","""2005-7""","""South Africa""","""Homo sapiens""","""Influenza A virus""",33
"""FluNet""","""2005-7""","""Japan""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2005-7""","""Madagascar""","""Homo sapiens""","""Influenza A virus""",12
"""FluNet""","""2005-7""","""Brazil""","""Homo sapiens""","""Influenza A virus""",8
"""FluNet""","""2005-7""","""Peru""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-7""","""Colombia""","""Homo sapiens""","""Influenza A virus""",5
"""FluNet""","""2005-7""","""Paraguay""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2005-7""","""New Zealand""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-7""","""Philippines""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-7""","""Israel""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-8""","""Australia""","""Homo sapiens""","""Influenza A virus""",161
"""FluNet""","""2005-8""","""China""","""Homo sapiens""","""Influenza A virus""",79
"""FluNet""","""2005-8""","""Argentina""","""Homo sapiens""","""Influenza A virus""",44
"""FluNet""","""2005-8""","""Thailand""","""Homo sapiens""","""Influenza A virus""",42
"""FluNet""","""2005-8""","""Peru""","""Homo sapiens""","""Influenza A virus""",30
"""FluNet""","""2005-8""","""Uruguay""","""Homo sapiens""","""Influenza A virus""",28
"""FluNet""","""2005-8""","""Chile""","""Homo sapiens""","""Influenza A virus""",22
"""FluNet""","""2005-8""","""South Africa""","""Homo sapiens""","""Influenza A virus""",21
"""FluNet""","""2005-8""","""Japan""","""Homo sapiens""","""Influenza A virus""",16
"""FluNet""","""2005-8""","""Madagascar""","""Homo sapiens""","""Influenza A virus""",14
"""FluNet""","""2005-8""","""New Zealand""","""Homo sapiens""","""Influenza A virus""",8
"""FluNet""","""2005-8""","""Brazil""","""Homo sapiens""","""Influenza A virus""",8
"""FluNet""","""2005-8""","""Costa Rica""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-8""","""Colombia""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-8""","""Mexico""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-9""","""China""","""Homo sapiens""","""Influenza A virus""",58
"""FluNet""","""2005-9""","""Thailand""","""Homo sapiens""","""Influenza A virus""",32
"""FluNet""","""2005-9""","""Australia""","""Homo sapiens""","""Influenza A virus""",31
"""FluNet""","""2005-9""","""Argentina""","""Homo sapiens""","""Influenza A virus""",20
"""FluNet""","""2005-9""","""New Zealand""","""Homo sapiens""","""Influenza A virus""",9
"""FluNet""","""2005-9""","""Japan""","""Homo sapiens""","""Influenza A virus""",9
"""FluNet""","""2005-9""","""Peru""","""Homo sapiens""","""Influenza A virus""",7
"""FluNet""","""2005-9""","""Uruguay""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-9""","""Colombia""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2005-9""","""Senegal""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-9""","""Mexico""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-9""","""Brazil""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2005-9""","""Chile""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2005-9""","""South Africa""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2005-9""","""New Caledonia""","""Homo sapiens""","""Influenza A virus""",1
"""FluNet""","""2006-1""","""Japan""","""Homo sapiens""","""Influenza A virus""",2479
"""FluNet""","""2006-1""","""China""","""Homo sapiens""","""Influenza A virus""",619
"""FluNet""","""2006-1""","""Egypt""","""Homo sapiens""","""Influenza A virus""",78
"""FluNet""","""2006-1""","""Turkey""","""Homo sapiens""","""Influenza A virus""",69
"""FluNet""","""2006-1""","""France""","""Homo sapiens""","""Influenza A virus""",68
"""FluNet""","""2006-1""","""Madagascar""","""Homo sapiens""","""Influenza A virus""",62
"""FluNet""","""2006-1""","""Mongolia""","""Homo sapiens""","""Influenza A virus""",58
"""FluNet""","""2006-1""","""Norway""","""Homo sapiens""","""Influenza A virus""",56
"""FluNet""","""2006-1""","""Tunisia""","""Homo sapiens""","""Influenza A virus""",35
"""FluNet""","""2006-1""","""Sweden""","""Homo sapiens""","""Influenza A virus""",29
"""FluNet""","""2006-1""","""Portugal""","""Homo sapiens""","""Influenza A virus""",20
"""FluNet""","""2006-1""","""Israel""","""Homo sapiens""","""Influenza A virus""",19
"""FluNet""","""2006-1""","""Latvia""","""Homo sapiens""","""Influenza A virus""",18
"""FluNet""","""2006-1""","""Peru""","""Homo sapiens""","""Influenza A virus""",13
"""FluNet""","""2006-1""","""Italy""","""Homo sapiens""","""Influenza A virus""",13
"""FluNet""","""2006-1""","""Mexico""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2006-1""","""Spain""","""Homo sapiens""","""Influenza A virus""",6
"""FluNet""","""2006-1""","""Greece""","""Homo sapiens""","""Influenza A virus""",5
"""FluNet""","""2006-1""","""Finland""","""Homo sapiens""","""Influenza A virus""",5
"""FluNet""","""2006-1""","""Czechia""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2006-1""","""Switzerland""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2006-1""","""Thailand""","""Homo sapiens""","""Influenza A virus""",4
"""FluNet""","""2006-1""","""Colombia""","""Homo sapiens""","""Influenza A virus""",3
"""FluNet""","""2006-1""","""Luxembourg""","""Homo sapiens""","""Influenza A virus""",2
"""FluNet""","""2006-1""","""Germany""","""Homo sapiens""","""Influenza A virus""",2
